epoch,train_loss,train_acc,test_loss,test_acc
1,0.1320816668510437,95.835,0.04480619441070594,98.51
2,0.04427462226723631,98.63833333333334,0.04353685887334868,98.63
3,0.032576229133208595,98.96666666666667,0.04422333305996144,98.59
4,0.02492883793544024,99.18666666666667,0.0495598440683083,98.64
5,0.02288146122551213,99.25666666666666,0.04176786854123638,98.81
6,0.01942559696799144,99.38166666666666,0.04028463925806282,98.88
7,0.020625847703047717,99.33666666666667,0.0391908627429948,98.96
8,0.016137204877675202,99.49166666666666,0.05318346906041188,98.76
9,0.019042079053844405,99.41666666666667,0.04215167707624023,98.92
10,0.013835925217896389,99.59333333333333,0.047387390327647515,98.87
