epoch,train_loss,train_acc,test_loss,test_acc
1,0.6427812702178956,78.97666666666667,0.22638847208023072,93.06
2,0.24542438232103983,92.29166666666667,0.14229383177161217,95.33
3,0.18490148655573527,94.22333333333333,0.13481531951427458,95.68
4,0.1506960680882136,95.28666666666666,0.10236665356457234,96.57
5,0.13152403279940286,95.885,0.09960730756521224,96.75
6,0.1172623711069425,96.34833333333333,0.08919435188323259,97.16
7,0.10832942502498627,96.58666666666667,0.09100508957207203,96.99
8,0.09911765063206354,96.90833333333333,0.08740419459789991,97.21
9,0.09642839490969976,96.915,0.0779801354303956,97.44
10,0.08938414706786474,97.12666666666667,0.07634780336190015,97.57
11,0.08327018126348655,97.36166666666666,0.06712133079320193,97.91
12,0.07817055295705795,97.47833333333334,0.07013085375577212,97.74
13,0.07509997330904007,97.57,0.0708118314139545,97.9
14,0.07086782434781393,97.72333333333333,0.06139479544982314,98.12
15,0.06693245128591856,97.84666666666666,0.06055576829155907,98.08
16,0.06681381654441357,97.78333333333333,0.06312777485698462,97.97
17,0.06241424876699845,98.005,0.06582762221656739,97.98
18,0.061964812491834165,97.95166666666667,0.05535516874361783,98.19
19,0.05818215248882771,98.13,0.05730210601929575,98.28
20,0.05812272108693917,98.06666666666666,0.057733113277330994,98.24
