epoch,train_loss,train_acc,test_loss,test_acc
1,0.1379670639892419,95.71333333333334,0.04899647932089865,98.38
2,0.04329591783682505,98.61166666666666,0.03704939054492861,98.83
3,0.028610847287128368,99.10166666666667,0.03447002780996263,98.86
4,0.023578612735991676,99.225,0.03971276920728851,98.75
5,0.019520439633975425,99.34833333333333,0.03682862518078182,98.98
6,0.014834998560075958,99.50166666666667,0.03280484468478244,99.01
7,0.014854806062307518,99.54,0.046602122291305566,98.8
8,0.01207128421224188,99.61666666666666,0.05381431497153244,98.64
9,0.009254276033261946,99.685,0.04258167970754428,98.92
10,0.011940255985286785,99.61833333333334,0.04047219039753327,99.02
11,0.008830531843494586,99.69166666666666,0.045251296864705456,98.93
12,0.00819556053954293,99.75833333333334,0.05030698337033138,99.02
13,0.009757288923855231,99.70333333333333,0.0631104005024059,98.76
14,0.007164127300330438,99.76166666666667,0.05986667701749684,98.93
15,0.00770703439409311,99.76666666666667,0.0562970074592597,98.9
16,0.0055900375891211294,99.81166666666667,0.056949340675234134,98.99
17,0.0073500384648041445,99.78833333333333,0.05468499273900947,98.89
18,0.007416622960374419,99.78666666666666,0.05632827004701826,98.96
19,0.007225294344193874,99.79166666666667,0.066543972840708,99.02
20,0.008485211338509302,99.73666666666666,0.05055098541300449,98.99
