epoch,train_loss,train_acc,test_loss,test_acc
1,0.502432472594579,83.54333333333334,0.21874936161637307,92.71
2,0.2257900257031123,92.83833333333334,0.16116372342705726,95.11
3,0.17903761240641275,94.395,0.14038322192430497,95.6
4,0.15959100046157837,94.965,0.1297730617403984,95.84
5,0.14600257799228034,95.4,0.11915168881416321,96.27
6,0.14029055291016895,95.60166666666667,0.09139463860988617,97.21
7,0.1254393118341764,96.10333333333334,0.09903648972809315,96.97
8,0.12066226117412249,96.18833333333333,0.08948970650956034,97.19
9,0.11494211507439614,96.43,0.10758221092373133,96.83
10,0.11158983729680379,96.51333333333334,0.08879572725221514,97.14
11,0.10626478209495545,96.69333333333333,0.08927313295304776,97.29
12,0.10236391358772913,96.76333333333334,0.07049215683676302,97.62
13,0.1026811337351799,96.75333333333333,0.08473277072869241,97.38
14,0.10182073935866356,96.89333333333333,0.08289095154218376,97.53
15,0.10040531679193179,96.81666666666666,0.0795614478468895,97.78
