epoch,train_loss,train_acc,test_loss,test_acc
1,0.21481257605552673,93.35666666666667,0.15105486711263658,95.54
2,0.11016412610411644,96.64666666666666,0.10104719558097422,96.96
3,0.08862746674915155,97.34833333333333,0.12347128801047802,96.68
4,0.07932562193671862,97.63333333333334,0.12721526438468136,96.85
5,0.06904506421387195,97.945,0.11534413529415614,97.42
6,0.06815339860518774,98.02833333333334,0.12815060961758717,97.12
7,0.0618517944380641,98.24833333333333,0.1462926879538223,96.76
8,0.06377980760149658,98.22833333333334,0.14069892149576918,97.17
9,0.057055883942047754,98.35,0.19104379834027788,96.9
10,0.05292839564178139,98.58,0.15391085505550436,97.21
11,0.05920135523524756,98.48333333333333,0.17999718478831891,97.04
12,0.053114249982560674,98.63,0.20444963024841187,97.03
13,0.04366086237222577,98.81333333333333,0.17737053651427895,97.36
14,0.04071037267765496,98.98,0.17547593884184057,97.37
15,0.05056187321098599,98.82,0.21962266872802294,97.33
16,0.045763266082604726,98.90833333333333,0.2139211138359591,97.28
17,0.048826783526471504,98.89833333333333,0.25071272794794597,97.2
18,0.041725183920562264,99.075,0.2319631677263882,97.3
19,0.041403575489935486,99.08666666666667,0.24120269381981344,97.3
20,0.044514601324965285,99.01,0.25422624671289223,97.27
