epoch,train_loss,train_acc,test_loss,test_acc
1,0.8076296507994334,73.67166666666667,0.2738395946264267,91.53
2,0.2912481355667114,91.01,0.18099189784526826,94.72
3,0.2240928996324539,92.98333333333333,0.14980347878336905,95.53
4,0.18482316245237987,94.085,0.12214387132525444,96.43
5,0.16443112168709437,94.825,0.1079468365430832,96.73
6,0.14698930447101594,95.35166666666667,0.10749897828996181,96.67
7,0.13291767554680506,95.705,0.10691004821956157,96.92
8,0.12388445491393407,96.06,0.09703728038668633,96.97
9,0.11569278449416161,96.31333333333333,0.08612995432019234,97.38
10,0.10968898475170136,96.52833333333334,0.07970652733296156,97.51
11,0.09980828829109668,96.73166666666667,0.08390363613963127,97.4
12,0.09698016655345758,96.88166666666666,0.0792657106731087,97.51
13,0.0909318849235773,97.09,0.07926477071195841,97.53
14,0.085912423457702,97.26833333333333,0.07166704153567553,97.84
15,0.08363020044366519,97.31333333333333,0.07361987376064062,97.59
16,0.07927383468945821,97.43166666666667,0.0644480515409261,97.95
17,0.07740106129844983,97.45833333333333,0.06718170690890402,97.92
18,0.07365787615776062,97.58166666666666,0.0656993088901043,98.01
19,0.06726984289487203,97.71166666666667,0.06482550812046975,98.1
20,0.0667073183298111,97.84833333333333,0.0625323628326878,98.08
