epoch,train_loss,train_acc,test_loss,test_acc
1,0.14746063732306164,95.47,0.047846272413712,98.48
2,0.04796348459174236,98.50333333333333,0.04239033572459593,98.58
3,0.03247578314294418,99.00166666666667,0.037698727181181314,98.81
4,0.02280787152213355,99.28666666666666,0.035340016874298455,98.97
5,0.02027280485077451,99.305,0.04579222810317297,98.65
6,0.01744943897717943,99.42833333333333,0.03771337030771538,99.02
7,0.014328155696485191,99.51666666666667,0.036474315323424523,99.0
8,0.012603739905714367,99.55833333333334,0.0439853225188097,98.83
9,0.01092235506963916,99.64666666666666,0.05225464913417818,98.68
10,0.012527378651212591,99.615,0.04734765814165439,98.9
11,0.00885475050759269,99.71666666666667,0.04826496905959628,98.91
12,0.008614265843696194,99.725,0.05374135154072928,98.8
13,0.009316175725112164,99.70166666666667,0.05114332149294502,99.04
14,0.007488207492176055,99.74333333333334,0.06550784837070218,98.77
15,0.011385783533320743,99.64666666666666,0.05099191915577103,98.95
