epoch,train_loss,train_acc,test_loss,test_acc
1,0.33022898338635764,90.75,0.17754816924333572,94.82
2,0.14408686920404434,95.83833333333334,0.11170111373662948,96.83
3,0.09684402312537034,97.19833333333334,0.09104182537347079,97.29
4,0.07256618196765582,97.91833333333334,0.07940717272460461,97.64
5,0.05678890793522199,98.37,0.07317399577237665,97.8
6,0.04509368662039439,98.7,0.06931175366044044,97.82
7,0.035935628457864126,99.01,0.06979770250245929,97.88
8,0.029119683168331783,99.22333333333333,0.06654864087849856,98.03
9,0.023596408673127494,99.355,0.06664661209024489,97.99
10,0.018804787611961363,99.525,0.06074523642957211,98.07
11,0.015750718665371338,99.60833333333333,0.06931893597876188,97.99
12,0.012099938440322876,99.74,0.0700240193808917,98.02
13,0.01002468884686629,99.795,0.06983862330727279,98.1
14,0.008574948735286792,99.83166666666666,0.06800353172169998,98.1
15,0.007348700564789275,99.86666666666666,0.06567398295057937,98.15
16,0.007470879842961828,99.81166666666667,0.06767002794235014,98.11
17,0.004575457846901069,99.93,0.06876254143869737,98.24
18,0.0028229383220896125,99.975,0.06853697239318281,98.24
19,0.0037096120454991857,99.92333333333333,0.08299927606596612,97.94
20,0.0077838549414649605,99.77,0.0747545064034639,98.17
